
2018-02-28 12:13:09 Commons Daemon procrun stdout initialized
[2018-02-28T12:13:16,008][INFO ][o.e.n.Node               ] [] initializing ...
[2018-02-28T12:13:16,211][INFO ][o.e.e.NodeEnvironment    ] [15pjBzd] using [1] data paths, mounts [[(C:)]], net usable_space [127gb], net total_space [237.7gb], types [NTFS]
[2018-02-28T12:13:16,211][INFO ][o.e.e.NodeEnvironment    ] [15pjBzd] heap size [990.7mb], compressed ordinary object pointers [true]
[2018-02-28T12:13:16,352][INFO ][o.e.n.Node               ] node name [15pjBzd] derived from node ID [15pjBzdIRV6eLjW4oBjpfw]; set [node.name] to override
[2018-02-28T12:13:16,352][INFO ][o.e.n.Node               ] version[6.1.3], pid[3464], build[af51318/2018-01-26T18:22:55.523Z], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/9.0.4/9.0.4+11]
[2018-02-28T12:13:16,352][INFO ][o.e.n.Node               ] JVM arguments [-Xms1g, -Xmx1g, -XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -XX:+HeapDumpOnOutOfMemoryError, -Delasticsearch, -Des.path.home=C:\Users\Sheirly\Desktop\ES\elasticsearch-6.1.3, -Des.path.conf=C:\Users\Sheirly\Desktop\ES\elasticsearch-6.1.3\config, exit, -Xms1024m, -Xmx1024m, -Xss1024k]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [aggs-matrix-stats]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [analysis-common]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [ingest-common]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [lang-expression]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [lang-mustache]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [lang-painless]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [mapper-extras]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [parent-join]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [percolator]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [reindex]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [repository-url]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [transport-netty4]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] loaded module [tribe]
[2018-02-28T12:13:20,289][INFO ][o.e.p.PluginsService     ] [15pjBzd] no plugins loaded
[2018-02-28T12:13:24,071][INFO ][o.e.d.DiscoveryModule    ] [15pjBzd] using discovery type [zen]
[2018-02-28T12:13:25,227][INFO ][o.e.n.Node               ] initialized
[2018-02-28T12:13:25,227][INFO ][o.e.n.Node               ] [15pjBzd] starting ...
[2018-02-28T12:13:25,899][INFO ][o.e.t.TransportService   ] [15pjBzd] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2018-02-28T12:13:29,008][INFO ][o.e.c.s.MasterService    ] [15pjBzd] zen-disco-elected-as-master ([0] nodes joined), reason: new_master {15pjBzd}{15pjBzdIRV6eLjW4oBjpfw}{L9FsgQ4tTO6fJAcaZdKbFQ}{127.0.0.1}{127.0.0.1:9300}
[2018-02-28T12:13:29,024][INFO ][o.e.c.s.ClusterApplierService] [15pjBzd] new_master {15pjBzd}{15pjBzdIRV6eLjW4oBjpfw}{L9FsgQ4tTO6fJAcaZdKbFQ}{127.0.0.1}{127.0.0.1:9300}, reason: apply cluster state (from master [master {15pjBzd}{15pjBzdIRV6eLjW4oBjpfw}{L9FsgQ4tTO6fJAcaZdKbFQ}{127.0.0.1}{127.0.0.1:9300} committed version [1] source [zen-disco-elected-as-master ([0] nodes joined)]])
[2018-02-28T12:13:29,992][INFO ][o.e.g.GatewayService     ] [15pjBzd] recovered [3] indices into cluster_state
[2018-02-28T12:13:30,993][INFO ][o.e.c.r.a.AllocationService] [15pjBzd] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[.kibana][0]] ...]).
[2018-02-28T12:13:31,118][INFO ][o.e.h.n.Netty4HttpServerTransport] [15pjBzd] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2018-02-28T12:13:31,118][INFO ][o.e.n.Node               ] [15pjBzd] started
[2018-03-06T09:28:13,379][INFO ][o.e.n.Node               ] [15pjBzd] stopping ...
[2018-03-06T09:28:13,582][INFO ][o.e.n.Node               ] [15pjBzd] stopped
[2018-03-06T09:28:13,582][INFO ][o.e.n.Node               ] [15pjBzd] closing ...
[2018-03-06T09:28:13,614][INFO ][o.e.n.Node               ] [15pjBzd] closed
